releaseid,releasename,institutionid,institutionname,programid,programname,facultycount,pub2010,pub2011,pub2012,pub2013,cit2009,cit2010,cit2011,cit2012,cit2013,book2004,book2005,book2006,book2007,book2008,book2009,book2010,book2011,book2012,book2013,grant2009,grant2010,grant2011,grant2012,grant2013,award2004,award2005,award2006,award2007,award2008,award2009,award2010,award2011,award2012,award2013,confproc2010,confproc2011,confproc2012,confproc2013,nsfdol,doeddol,doedol,nihdol,usdadol,noaadol,ahadol,armydol,faadol,nasadol,navydol,acsdol,hhsdol,afrodol,epadol,neadol,nehdol,acsnum,hhsnum,afronum,epanum,neanum,nehnum,nsfnum,doednum,nihnum,usdanum,noaanum,ahanum,armynum,faanum,nasanum,navynum,doenum,createddate
"20150223.397","AAD2013.04.397",81,"Georgetown University",1197,"Biochemistry and Molecular Biology",32,61,44,48,57,1208,666,426,425,130,1,0,0,1,0,0,1,1,1,2,7,1,1,3,2,0,0,0,0,0,0,0,0,0,0,3,2,4,2,0.00,0.00,363383.00,4832944.00,0.00,0.00,0.00,0.00,0.00,1355433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,1,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1198,"Biology",16,25,33,24,26,163,266,272,96,71,0,0,0,0,0,1,1,0,0,0,4,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,961358.00,0.00,0.00,1867642.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",9847,"Biomedical Sciences",82,190,208,191,241,4052,2182,1932,2177,580,0,3,1,0,3,4,2,1,2,2,16,9,9,8,6,0,0,0,0,1,0,0,0,0,0,8,6,10,4,1195751.00,153191.00,20869.00,29252375.00,0.00,0.00,0.00,0.00,0.00,0.00,8172672.00,0.00,0.00,0.00,150264.00,0.00,0.00,0,0,0,1,0,0,8,1,110,0,0,0,0,0,0,2,1,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1199,"Cell Biology",32,61,44,48,57,1208,666,426,425,130,1,0,0,1,0,0,1,1,1,2,7,1,1,3,2,0,0,0,0,0,0,0,0,0,0,3,2,4,2,0.00,0.00,363383.00,4832944.00,0.00,0.00,0.00,0.00,0.00,1355433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,1,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1200,"Chemistry",15,51,59,42,53,771,575,650,475,249,0,0,1,0,1,0,1,0,1,0,6,6,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3434228.00,0.00,280446.00,1521010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,31,0,6,0,0,0,0,0,0,0,2,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",11876,"Computer Science",14,14,10,14,15,64,32,20,26,10,1,2,0,1,0,0,1,0,0,3,1,1,1,5,3,0,1,0,1,1,0,0,0,0,0,27,19,24,28,1059749.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1201,"Economics",27,28,19,22,27,295,431,124,67,31,3,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,226362.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1202,"German",7,7,0,5,6,32,25,0,2,2,0,1,2,0,2,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",40048,"Global Infectious Disease",23,61,66,62,74,966,620,463,394,258,0,0,0,1,2,1,1,0,2,0,9,2,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,807846.00,0.00,363383.00,8277189.00,0.00,0.00,0.00,0.00,0.00,1155021.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,9,0,32,0,0,0,0,0,2,0,1,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1203,"Government",45,30,25,27,32,176,301,115,35,11,9,7,8,14,8,13,11,11,10,7,0,4,0,0,0,0,1,0,1,6,0,0,0,1,2,0,0,0,0,0.00,1379430.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
